iter	Passed	Remaining
0	1	5611
1	3	5388
2	5	5319
3	6	5150
4	8	4988
5	9	4887
6	11	4804
7	12	4730
8	14	4693
9	15	4645
10	17	4620
11	18	4597
12	20	4737
13	22	4716
14	23	4688
15	25	4665
16	26	4644
17	27	4623
18	29	4602
19	30	4583
20	32	4565
21	33	4571
22	35	4626
23	37	4617
24	38	4603
25	40	4584
26	41	4574
27	42	4561
28	44	4549
29	45	4541
30	47	4538
31	48	4529
32	50	4535
33	52	4560
34	53	4563
35	55	4567
36	56	4562
37	58	4555
38	59	4547
39	61	4557
40	63	4548
41	64	4541
42	66	4556
43	67	4558
44	69	4557
45	70	4551
46	72	4548
47	73	4542
48	75	4537
49	77	4545
50	78	4538
51	79	4531
52	81	4535
53	83	4537
54	84	4530
55	86	4522
56	87	4516
57	88	4511
58	90	4510
59	91	4505
60	93	4500
61	94	4494
62	96	4489
63	98	4502
64	99	4502
65	101	4496
66	102	4492
67	104	4488
68	105	4483
69	106	4478
70	108	4472
71	109	4467
72	111	4462
73	112	4465
74	114	4464
75	115	4459
76	117	4454
77	119	4465
78	120	4465
79	122	4460
80	123	4456
81	125	4451
82	126	4445
83	128	4443
84	129	4450
85	131	4446
86	132	4446
87	134	4442
88	135	4436
89	137	4432
90	138	4429
91	140	4425
92	141	4420
93	142	4416
94	144	4428
95	146	4435
96	148	4431
97	149	4427
98	150	4424
99	152	4420
100	153	4416
101	155	4413
102	156	4410
103	158	4406
104	160	4420
105	161	4418
106	163	4415
107	164	4412
108	166	4409
109	167	4406
110	169	4404
111	170	4400
112	172	4398
113	173	4396
114	175	4407
115	177	4407
116	178	4403
117	180	4400
118	181	4396
119	183	4392
120	184	4388
121	185	4384
122	187	4380
123	188	4383
124	190	4381
125	191	4379
126	193	4375
127	194	4371
128	196	4366
129	197	4363
130	199	4359
131	200	4355
132	201	4353
133	203	4350
134	204	4347
135	206	4351
136	208	4348
137	209	4344
138	210	4341
139	212	4338
140	213	4334
141	215	4332
142	216	4329
143	218	4326
144	219	4322
145	221	4323
146	222	4326
147	224	4323
148	225	4321
149	227	4317
150	228	4314
151	230	4311
152	231	4312
153	233	4309
154	234	4306
155	236	4303
156	238	4311
157	239	4309
158	241	4307
159	242	4304
160	243	4300
161	245	4303
162	247	4300
163	248	4297
164	249	4293
165	251	4290
166	253	4294
167	254	4295
168	256	4292
169	257	4289
170	259	4289
171	260	4286
172	262	4283
173	263	4280
174	265	4278
175	266	4274
176	267	4274
177	269	4275
178	271	4272
179	272	4271
180	274	4268
181	275	4265
182	276	4262
183	278	4259
184	279	4256
185	281	4253
186	282	4250
187	284	4250
188	285	4248
189	287	4246
190	288	4244
191	290	4242
192	291	4239
193	292	4237
194	294	4234
195	295	4230
196	297	4228
197	298	4225
198	300	4229
199	302	4231
200	303	4229
201	305	4227
202	306	4224
203	308	4222
204	309	4220
205	310	4217
206	312	4214
207	313	4212
208	315	4219
209	332	4421
210	334	4418
211	335	4414
212	337	4410
213	338	4407
214	340	4404
215	341	4401
216	342	4398
217	344	4394
218	345	4391
219	347	4393
220	349	4391
221	350	4388
222	352	4384
223	353	4380
224	354	4377
225	356	4374
226	357	4370
227	359	4366
228	360	4367
229	363	4372
230	364	4371
231	366	4371
232	367	4368
233	369	4364
234	370	4361
235	372	4358
236	373	4354
237	375	4354
238	376	4351
239	378	4351
240	379	4349
241	381	4346
242	382	4342
243	384	4340
244	385	4337
245	387	4334
246	388	4333
247	390	4329
248	391	4327
249	393	4324
250	394	4324
251	396	4321
252	397	4318
253	399	4315
254	400	4311
255	402	4310
256	403	4307
257	405	4304
258	406	4301
259	407	4298
260	409	4299
261	411	4297
262	412	4294
263	414	4291
264	415	4288
265	417	4287
266	418	4284
267	419	4281
268	421	4278
269	422	4275
270	424	4275
271	426	4275
272	427	4272
273	429	4269
274	430	4267
275	432	4265
276	433	4262
277	435	4259
278	436	4256
279	437	4253
280	439	4250
281	441	4253
282	443	4253
283	444	4252
284	446	4249
285	447	4246
286	448	4244
287	450	4241
288	451	4238
289	453	4235
290	454	4232
291	456	4235
292	458	4233
293	459	4230
294	461	4227
295	462	4224
296	463	4222
297	465	4219
298	466	4217
299	468	4214
300	469	4212
301	471	4210
302	472	4209
303	474	4207
304	475	4204
305	477	4201
306	478	4198
307	480	4196
308	481	4193
309	482	4190
310	484	4188
311	486	4187
312	487	4189
313	489	4186
314	490	4183
315	492	4180
316	493	4177
317	495	4175
318	496	4172
319	497	4169
320	499	4167
321	501	4169
322	503	4171
323	504	4170
324	506	4167
325	507	4165
326	509	4162
327	510	4159
328	512	4157
329	513	4155
330	515	4153
331	516	4150
332	518	4148
333	519	4149
334	521	4147
335	522	4145
336	524	4142
337	525	4140
338	527	4138
339	528	4138
340	530	4136
341	531	4134
342	533	4132
343	535	4132
344	536	4130
345	538	4127
346	539	4125
347	541	4123
348	542	4121
349	544	4119
350	545	4117
351	546	4114
352	548	4112
353	550	4114
354	551	4112
355	553	4110
356	554	4108
357	556	4107
358	557	4104
359	559	4101
360	560	4099
361	562	4097
362	563	4095
363	565	4095
364	567	4093
365	568	4091
366	570	4090
367	571	4088
368	572	4085
369	574	4083
370	575	4081
371	577	4079
372	578	4076
373	580	4076
374	582	4074
375	583	4074
376	585	4072
377	586	4070
378	588	4068
379	589	4066
380	591	4064
381	592	4061
382	594	4059
383	595	4057
384	597	4057
385	598	4055
386	600	4052
387	601	4050
388	603	4048
389	604	4046
390	606	4044
391	607	4041
392	609	4039
393	610	4037
394	612	4038
395	613	4037
396	615	4034
397	616	4032
398	618	4030
399	619	4028
400	621	4025
401	622	4023
402	623	4020
403	625	4019
404	627	4019
405	629	4019
406	630	4016
407	631	4014
408	633	4012
409	634	4010
410	636	4008
411	637	4006
412	639	4004
413	640	4002
414	642	4001
415	644	4001
416	645	3999
417	647	3997
418	648	3995
419	650	3993
420	651	3991
421	652	3988
422	654	3987
423	655	3985
424	657	3983
425	658	3981
426	660	3980
427	661	3978
428	663	3975
429	664	3974
430	666	3971
431	667	3970
432	669	3968
433	670	3966
434	672	3964
435	674	3964
436	675	3962
437	677	3960
438	678	3958
439	680	3956
440	681	3954
441	682	3952
442	684	3950
443	685	3948
444	687	3945
445	688	3944
446	690	3943
447	691	3941
448	693	3939
449	694	3936
450	696	3935
451	697	3934
452	699	3932
453	701	3931
454	702	3929
455	703	3927
456	705	3926
457	707	3925
458	708	3922
459	710	3921
460	711	3919
461	712	3916
462	714	3914
463	715	3912
464	717	3910
465	718	3908
466	720	3908
467	722	3907
468	723	3906
469	725	3904
470	726	3901
471	728	3899
472	729	3897
473	730	3895
474	732	3892
475	733	3890
476	735	3890
477	737	3889
478	739	3889
479	740	3889
480	742	3888
481	744	3886
482	745	3884
483	746	3882
484	748	3880
485	749	3878
486	751	3876
487	752	3875
488	754	3873
489	755	3871
490	757	3869
491	758	3867
492	760	3865
493	761	3863
494	762	3860
495	764	3858
496	765	3857
497	767	3858
498	769	3855
499	770	3854
500	772	3852
501	773	3850
502	775	3848
503	776	3846
504	778	3844
505	779	3842
506	781	3840
507	782	3840
508	784	3839
509	786	3837
510	787	3835
511	788	3833
512	790	3832
513	791	3830
514	793	3828
515	794	3826
516	796	3824
517	797	3822
518	799	3821
519	800	3819
520	802	3817
521	803	3815
522	805	3813
523	806	3812
524	808	3810
525	809	3808
526	811	3806
527	812	3804
528	814	3805
529	816	3804
530	817	3802
531	819	3799
532	820	3797
533	822	3796
534	823	3794
535	824	3792
536	826	3790
537	827	3788
538	829	3787
539	831	3786
540	832	3784
541	834	3782
542	835	3780
543	837	3779
544	838	3777
545	839	3775
546	841	3772
547	842	3770
548	844	3770
549	846	3768
550	847	3766
551	848	3764
552	850	3764
553	852	3762
554	853	3760
555	854	3758
556	856	3756
557	857	3754
558	859	3752
559	861	3752
560	862	3751
561	864	3751
562	866	3749
563	867	3747
564	868	3745
565	870	3743
566	871	3741
567	873	3739
568	874	3737
569	876	3738
570	879	3739
571	881	3740
572	883	3740
573	884	3739
574	886	3737
575	887	3735
576	889	3734
577	890	3733
578	893	3734
579	894	3733
580	896	3731
581	897	3729
582	899	3727
583	900	3725
584	902	3724
585	903	3722
586	904	3720
587	906	3720
588	908	3720
589	910	3719
590	912	3717
591	913	3715
592	914	3713
593	916	3711
594	917	3709
595	919	3707
596	920	3706
597	922	3704
598	924	3704
599	925	3702
600	927	3700
601	928	3698
602	929	3696
603	931	3694
604	932	3692
605	934	3691
606	935	3689
607	937	3687
608	938	3686
609	940	3684
610	941	3682
611	943	3680
612	944	3678
613	946	3676
614	947	3676
615	949	3674
616	950	3672
617	952	3670
618	953	3669
619	955	3667
620	956	3665
621	958	3663
622	959	3661
623	961	3660
624	962	3658
625	964	3656
626	965	3654
627	967	3652
628	968	3650
629	970	3650
630	971	3648
631	973	3646
632	974	3644
633	976	3643
634	977	3641
635	979	3639
636	980	3637
637	982	3635
638	983	3633
639	985	3633
640	986	3631
641	988	3630
642	990	3629
643	991	3627
644	992	3625
645	994	3623
646	995	3621
647	997	3619
648	998	3617
649	1000	3616
650	1002	3616
651	1003	3615
652	1005	3615
653	1007	3614
654	1009	3612
655	1010	3610
656	1012	3609
657	1013	3607
658	1014	3605
659	1016	3605
660	1018	3604
661	1019	3602
662	1021	3600
663	1022	3598
664	1024	3596
665	1025	3594
666	1027	3592
667	1028	3590
668	1030	3589
669	1031	3588
670	1033	3586
671	1034	3585
672	1036	3583
673	1037	3581
674	1039	3579
675	1040	3577
676	1042	3575
677	1043	3573
678	1045	3572
679	1046	3571
680	1048	3570
681	1049	3568
682	1051	3566
683	1052	3564
684	1054	3563
685	1055	3561
686	1057	3559
687	1058	3557
688	1060	3555
689	1061	3554
690	1063	3553
691	1065	3552
692	1066	3550
693	1068	3549
694	1069	3547
695	1070	3545
696	1072	3543
697	1074	3542
698	1075	3540
699	1076	3538
700	1079	3538
701	1080	3537
702	1082	3535
703	1083	3533
704	1084	3531
705	1086	3530
706	1088	3529
707	1089	3527
708	1090	3525
709	1092	3523
710	1094	3522
711	1095	3521
712	1097	3519
713	1098	3517
714	1100	3515
715	1101	3514
716	1103	3513
717	1104	3511
718	1106	3510
719	1108	3508
720	1109	3508
721	1111	3506
722	1112	3504
723	1114	3503
724	1115	3501
725	1117	3499
726	1118	3498
727	1120	3496
728	1121	3494
729	1123	3492
730	1124	3490
731	1126	3489
732	1127	3487
733	1129	3485
734	1130	3484
735	1132	3482
736	1133	3480
737	1134	3478
738	1136	3476
739	1137	3474
740	1139	3472
741	1141	3472
742	1142	3470
743	1144	3469
744	1145	3467
745	1147	3465
746	1148	3464
747	1150	3462
748	1151	3460
749	1152	3458
750	1154	3456
751	1155	3455
752	1157	3454
753	1159	3452
754	1160	3450
755	1162	3449
756	1163	3447
757	1164	3445
758	1166	3443
759	1167	3442
760	1169	3440
761	1170	3438
762	1172	3438
763	1174	3437
764	1175	3435
765	1177	3433
766	1178	3431
767	1180	3430
768	1181	3428
769	1183	3426
770	1184	3424
771	1186	3423
772	1188	3422
773	1189	3421
774	1191	3419
775	1192	3417
776	1193	3415
777	1195	3414
778	1196	3412
779	1198	3410
780	1199	3408
781	1201	3407
782	1203	3406
783	1204	3404
784	1206	3403
785	1207	3401
786	1209	3399
787	1210	3397
788	1211	3396
789	1213	3394
790	1214	3393
791	1216	3391
792	1217	3389
793	1219	3388
794	1220	3386
795	1222	3384
796	1223	3382
797	1225	3381
798	1226	3379
799	1228	3377
800	1229	3376
801	1231	3374
802	1232	3372
803	1234	3372
804	1236	3370
805	1237	3369
806	1239	3367
807	1240	3365
808	1242	3364
809	1243	3362
810	1245	3361
811	1246	3359
812	1248	3357
813	1250	3357
814	1251	3355
815	1252	3353
816	1254	3351
817	1255	3350
818	1257	3348
819	1258	3346
820	1260	3344
821	1261	3343
822	1263	3341
823	1264	3339
824	1266	3338
825	1267	3336
826	1269	3335
827	1270	3333
828	1272	3332
829	1273	3330
830	1275	3328
831	1276	3326
832	1278	3324
833	1279	3323
834	1281	3322
835	1282	3320
836	1284	3319
837	1285	3317
838	1287	3315
839	1288	3313
840	1290	3311
841	1291	3310
842	1292	3308
843	1294	3306
844	1295	3304
845	1297	3303
846	1299	3302
847	1300	3300
848	1301	3298
849	1303	3296
850	1304	3294
851	1306	3293
852	1307	3291
853	1309	3289
854	1310	3288
855	1312	3287
856	1314	3286
857	1315	3284
858	1317	3282
859	1318	3281
860	1320	3280
861	1321	3278
862	1323	3276
863	1324	3275
864	1326	3274
865	1328	3273
866	1330	3272
867	1331	3270
868	1333	3269
869	1334	3267
870	1336	3265
871	1337	3263
872	1339	3262
873	1340	3260
874	1341	3259
875	1343	3258
876	1345	3256
877	1346	3254
878	1348	3252
879	1349	3251
880	1351	3249
881	1352	3247
882	1354	3246
883	1355	3244
884	1356	3242
885	1358	3242
886	1360	3240
887	1361	3238
888	1363	3237
889	1364	3235
890	1366	3233
891	1367	3232
892	1369	3230
893	1370	3228
894	1371	3226
895	1373	3225
896	1375	3224
897	1376	3222
898	1378	3220
899	1379	3219
900	1381	3217
901	1382	3215
902	1384	3214
903	1385	3212
904	1386	3210
905	1388	3208
906	1390	3207
907	1391	3206
908	1393	3204
909	1394	3203
910	1396	3201
911	1397	3199
912	1398	3197
913	1400	3196
914	1401	3194
915	1403	3192
916	1404	3191
917	1406	3189
918	1408	3188
919	1409	3186
920	1411	3185
921	1412	3183
922	1413	3181
923	1415	3179
924	1416	3178
925	1418	3176
926	1419	3175
927	1421	3174
928	1423	3172
929	1424	3170
930	1426	3169
931	1427	3167
932	1428	3165
933	1430	3163
934	1431	3162
935	1433	3160
936	1434	3158
937	1436	3157
938	1438	3156
939	1439	3154
940	1441	3153
941	1442	3151
942	1443	3149
943	1445	3147
944	1446	3146
945	1448	3144
946	1449	3143
947	1451	3142
948	1453	3141
949	1454	3139
950	1456	3137
951	1457	3136
952	1459	3134
953	1460	3132
954	1462	3131
955	1463	3129
956	1465	3127
957	1466	3126
958	1468	3125
959	1469	3123
960	1471	3121
961	1472	3119
962	1474	3118
963	1475	3116
964	1477	3114
965	1479	3114
966	1481	3113
967	1483	3113
968	1485	3112
969	1486	3111
970	1488	3109
971	1489	3107
972	1490	3106
973	1492	3104
974	1494	3103
975	1495	3101
976	1496	3099
977	1498	3098
978	1500	3097
979	1501	3095
980	1503	3093
981	1504	3091
982	1506	3090
983	1507	3089
984	1509	3087
985	1510	3085
986	1512	3083
987	1513	3082
988	1515	3081
989	1516	3079
990	1518	3077
991	1519	3076
992	1521	3074
993	1522	3072
994	1524	3070
995	1525	3069
996	1526	3067
997	1528	3065
998	1530	3065
999	1531	3063
1000	1533	3062
1001	1535	3060
1002	1536	3059
1003	1538	3057
1004	1539	3056
1005	1540	3054
1006	1542	3052
1007	1543	3050
1008	1545	3049
1009	1547	3048
1010	1548	3047
1011	1550	3045
1012	1551	3043
1013	1553	3042
1014	1554	3040
1015	1556	3038
1016	1557	3036
1017	1558	3035
1018	1560	3034
1019	1562	3033
1020	1564	3032
1021	1565	3030
1022	1567	3028
1023	1568	3027
1024	1570	3025
1025	1571	3024
1026	1573	3022
1027	1574	3020
1028	1576	3019
1029	1578	3018
1030	1579	3017
1031	1581	3015
1032	1582	3013
1033	1584	3011
1034	1585	3010
1035	1587	3008
1036	1588	3006
1037	1590	3006
1038	1591	3004
1039	1593	3002
1040	1594	3001
1041	1596	2999
1042	1597	2997
1043	1599	2996
1044	1600	2994
1045	1602	2993
1046	1603	2991
1047	1605	2990
1048	1607	2989
1049	1608	2987
1050	1610	2986
1051	1611	2984
1052	1613	2982
1053	1614	2981
1054	1616	2979
1055	1617	2978
1056	1619	2976
1057	1620	2974
1058	1622	2973
1059	1623	2972
1060	1625	2970
1061	1626	2968
1062	1628	2966
1063	1629	2965
1064	1631	2963
1065	1632	2961
1066	1633	2960
1067	1635	2958
1068	1637	2957
1069	1638	2955
1070	1640	2954
1071	1641	2952
1072	1643	2950
1073	1644	2949
1074	1646	2947
1075	1647	2946
1076	1649	2944
1077	1650	2943
1078	1652	2942
1079	1654	2941
1080	1655	2939
1081	1657	2937
1082	1658	2936
1083	1660	2934
1084	1661	2933
1085	1663	2931
1086	1664	2929
1087	1666	2927
1088	1667	2926
1089	1669	2925
1090	1670	2923
1091	1672	2922
1092	1674	2920
1093	1675	2919
1094	1677	2917
1095	1678	2915
1096	1679	2914
1097	1681	2912
1098	1682	2910
1099	1684	2909
1100	1685	2907
1101	1687	2906
1102	1688	2904
1103	1690	2902
1104	1691	2901
1105	1693	2899
1106	1694	2897
1107	1696	2896
1108	1697	2894
1109	1699	2893
1110	1700	2891
1111	1702	2890
1112	1703	2888
1113	1705	2887
1114	1706	2885
1115	1708	2883
1116	1709	2882
1117	1711	2880
1118	1712	2879
1119	1714	2877
1120	1716	2876
1121	1717	2875
1122	1719	2873
1123	1720	2871
1124	1721	2869
1125	1723	2868
1126	1724	2866
1127	1726	2864
1128	1727	2863
1129	1729	2862
1130	1731	2861
1131	1732	2859
1132	1734	2857
1133	1735	2856
1134	1737	2854
1135	1738	2852
1136	1739	2851
1137	1741	2849
1138	1743	2847
1139	1744	2846
1140	1746	2845
1141	1747	2843
1142	1749	2841
1143	1750	2840
1144	1752	2838
1145	1753	2836
1146	1755	2835
1147	1756	2833
1148	1758	2832
1149	1759	2830
1150	1761	2829
1151	1762	2827
1152	1764	2826
1153	1765	2824
1154	1767	2823
1155	1768	2821
1156	1770	2819
1157	1771	2818
1158	1773	2816
1159	1774	2814
1160	1776	2813
1161	1777	2811
1162	1779	2810
1163	1780	2808
1164	1782	2806
1165	1783	2805
1166	1785	2803
1167	1786	2802
1168	1788	2800
1169	1789	2798
1170	1790	2797
1171	1792	2796
1172	1794	2794
1173	1795	2792
1174	1797	2791
1175	1798	2789
1176	1799	2787
1177	1801	2786
1178	1802	2784
1179	1804	2782
1180	1805	2781
1181	1807	2780
1182	1809	2778
1183	1810	2777
1184	1812	2775
1185	1813	2774
1186	1815	2772
1187	1816	2771
1188	1818	2769
1189	1819	2767
1190	1821	2766
1191	1822	2764
1192	1824	2763
1193	1825	2761
1194	1827	2760
1195	1829	2758
1196	1830	2757
1197	1832	2755
1198	1833	2753
1199	1834	2752
1200	1836	2750
1201	1837	2748
1202	1839	2747
1203	1841	2747
1204	1843	2746
1205	1845	2745
1206	1847	2744
1207	1848	2742
1208	1850	2741
1209	1851	2739
1210	1853	2737
1211	1855	2737
1212	1857	2736
1213	1858	2734
1214	1860	2733
1215	1861	2731
1216	1863	2730
1217	1864	2728
1218	1866	2726
1219	1867	2725
1220	1869	2724
1221	1871	2723
1222	1873	2721
1223	1874	2720
1224	1876	2718
1225	1877	2717
1226	1879	2715
1227	1880	2713
1228	1882	2712
1229	1883	2710
1230	1885	2709
1231	1887	2708
1232	1888	2706
1233	1890	2704
1234	1891	2703
1235	1892	2701
1236	1894	2699
1237	1895	2698
1238	1897	2696
1239	1898	2695
1240	1900	2693
1241	1902	2692
1242	1903	2690
1243	1904	2688
1244	1906	2687
1245	1907	2685
1246	1909	2683
1247	1910	2682
1248	1912	2680
1249	1913	2679
1250	1915	2677
1251	1916	2676
1252	1918	2675
1253	1920	2673
1254	1921	2671
1255	1923	2670
1256	1924	2668
1257	1926	2667
1258	1927	2665
1259	1928	2663
1260	1930	2662
1261	1931	2660
1262	1933	2659
1263	1934	2657
1264	1936	2655
1265	1937	2654
1266	1939	2652
1267	1940	2651
1268	1942	2649
1269	1943	2647
1270	1945	2646
1271	1946	2644
1272	1948	2643
1273	1949	2641
1274	1951	2640
1275	1953	2638
1276	1954	2637
1277	1956	2635
1278	1957	2634
1279	1959	2632
1280	1960	2630
1281	1962	2629
1282	1963	2628
1283	1965	2626
1284	1966	2625
1285	1968	2623
1286	1969	2621
1287	1971	2619
1288	1972	2618
1289	1973	2616
1290	1975	2615
1291	1976	2613
1292	1978	2611
1293	1980	2610
1294	1981	2609
1295	1983	2607
1296	1984	2606
1297	1986	2604
1298	1987	2602
1299	1989	2601
1300	1990	2599
1301	1992	2597
1302	1993	2596
1303	1995	2595
1304	1996	2593
1305	1998	2591
1306	1999	2590
1307	2001	2588
1308	2002	2586
1309	2003	2585
1310	2005	2583
1311	2006	2581
1312	2008	2580
1313	2010	2579
1314	2011	2577
1315	2013	2576
1316	2014	2574
1317	2015	2572
1318	2017	2570
1319	2018	2569
1320	2020	2567
1321	2021	2565
1322	2023	2564
1323	2024	2562
1324	2026	2561
1325	2027	2560
1326	2029	2558
