type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,start_dt,cycle_id,slope_Vmeas_50_1500,slope_Vmeas_50_1000,median_vload_discharge,discharge_I_mean,Q_36_34_Ah,R0_ohm_approx,HI1_Discharge_Time,HI2_Max_Temp,discharge_Temp_std,discharge_Decrement_3.6_3.4_s,discharge_Decrement_3.4_3.2_s,discharge_Decrement_3.2_3.0_s,dischage_dVdt_mean,discharge_curv_max,discharge_t_to_V_below_3.5,discharge_time_V_above_3.5,discharge_V_mean,discharge_E_Wh_abs,discharge_radius_median,discharge_t_to_Tmax,discharge_t_to_V_below_3.0,discharge_auc_V_dt,discharge_P_mean_abs,discharge_time_V_above_3.0,discharge_duration_s,cc_charging_time,charge_I_std,charge_I_mean,charge_I_kurt,SOH,RUL
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],24,B0005,1,5122,05122.csv,1.856487421,,,2008-04-02 15:25:41.593,1.0,-0.0002336879804220122,-0.0002745157340080186,2.61,-1.8187019641679727,0.8215508731892227,0.23781978844524768,2422.656,38.98218133148803,3.495804364444764,1484.7701053605144,304.3726253380164,,-0.0002502835412964981,1.9149441693852855e-05,2046.1866546523152,2058.6409999999996,3.5319827889365234,6.617240816974493,8131049.321732079,3366.781,,13005.841816525168,6.471080574440791,3690.234,3690.234,3095.297,0.6666145137810588,0.9490426727251161,0.049429583630821394,1.0,100.0
discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],24,B0005,3,5124,05124.csv,1.84632725,,,2008-04-02 19:43:48.406,2.0,-0.0002357193009988939,-0.0002777877294048971,2.6045,-1.8175598506612867,0.8122339468687527,0.23116065783006262,2424.844,39.03339796678704,3.4355094885337065,1492.9402427273262,264.79790644052036,,-0.00024340729116095717,1.927761601106493e-05,2094.9403053373753,2096.641,3.539731263725325,6.595037958772197,7601604.198035641,3348.735,,12971.288076396864,6.480727813249093,3672.344,3672.344,3125.766,0.6673092105445458,0.9505286974657304,0.09423323569570341,0.9945272071951196,99.0
discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],24,B0005,5,5126,05126.csv,1.835349194,,,2008-04-03 00:01:06.687,3.0,-0.0002366056557171668,-0.00027861739234052085,2.602,-1.8164865418840956,0.8117039236813728,0.22808682062383023,2424.907,38.81879668981741,3.388173834611566,1488.0936420737287,254.70188461514226,,-0.00023694877425280253,1.8288373218729716e-05,2108.847977728297,2116.0939999999996,3.5459564355044932,6.563826761480383,7551833.754371736,3329.281,,12922.251441486327,6.4845054045286155,3651.641,3651.641,3094.468,0.6666278041175593,0.9523115206216739,0.1647204758919667,0.9886138592909971,98.0
discharge,[2008.       4.       3.       4.      16.      37.375],24,B0005,7,5128,05128.csv,1.835262528,,,2008-04-03 04:16:37.375,4.0,-0.00023770302189230955,-0.0002797625499108947,2.6020000000000003,-1.8255891938692528,0.8122763407747208,0.2269360667201832,2407.094,38.7623045063458,3.395305825857119,1483.4739763573964,249.2168292728893,,-0.0002331966212957562,1.8238452823567967e-05,2117.4695767054336,2135.578,3.546005789737705,6.5635385585249715,7429980.894202692,3329.5,,12850.917563263662,6.517205260838728,3631.563,3631.563,3082.453,0.6687719757450901,0.9477284862498987,0.10312949878995159,0.9885671765076829,97.0
discharge,[2008.       4.       3.       8.      33.      25.703],24,B0005,9,5130,05130.csv,1.834645508,,,2008-04-03 08:33:25.703,5.0,-0.00023821056512886646,-0.000280007431887454,2.6029999999999998,-1.8261139590277584,0.8118734185133123,0.22619414148266082,2405.688,38.66539257343368,3.4046669433807026,1481.3552880506145,244.91022770707605,,-0.00023474535606593524,1.853491273543392e-05,2121.794596174616,2134.516,3.544875090123898,6.5613439201897945,7610666.260490095,3327.531,,12838.239355040558,6.518842088385756,3629.172,3629.172,3083.125,0.6735039555301467,0.9326606943848299,-0.04626082609892901,0.9882348176707629,96.0
discharge,[2008.       4.       3.      12.      55.      10.687],24,B0005,11,5132,05132.csv,1.83566166,,,2008-04-03 12:55:10.687,6.0,-0.00023874778705675975,-0.0002803533677493216,2.601,-1.8168108743168805,0.8127177496783572,0.22518586997775789,2425.843,38.75169504640032,3.426121786903716,1481.3324639927712,238.95017841477375,,-0.00024224182382171278,1.8494179041562063e-05,2133.519012808296,2134.797,3.5441419746108505,6.566808697699308,7387784.793908069,3329.047,,12916.353619462974,6.4880529734258205,3652.281,3652.281,3118.5,0.6744064200034551,0.9322724824266048,-0.0441207386330702,0.9887821696153577,95.0
discharge,[2008.       4.       3.      17.      17.      16.015],24,B0005,13,5134,05134.csv,1.835146143,,,2008-04-03 17:17:16.015,7.0,-0.00023931077134474782,-0.00028074386076198135,2.601,-1.816791144707133,0.8124481031204693,0.2235084177522395,2407.172,38.8207012322275,3.4283444842023894,1479.4685642106324,233.50409823561404,,-0.00024351957868754042,1.8069154353496977e-05,2142.4122641938775,2152.656,3.543989994242907,6.5665962686929396,7474191.234476978,3328.156,,12910.454688944392,6.489445184209191,3650.828,3650.828,3096.828,0.6622559218143776,0.9653291698755072,0.2519773040410569,0.988504485536183,94.0
discharge,[2008.       4.       3.      21.      28.      14.718],24,B0005,15,5136,05136.csv,1.825756791,,,2008-04-03 21:28:14.718,8.0,-0.00024157556445769218,-0.0002818096851385882,2.606,-1.8443412120754061,0.8130423036365563,0.22295690030428023,2409.407,38.51713023385634,3.3604246400026705,1476.8051152346843,233.1621171325155,,-0.00022158440379068262,1.7940481811984977e-05,2149.201806952004,2155.531,3.555909343036143,6.543075392159321,7751226.732384695,3311.328,,12677.820119680804,6.597440975579586,3572.453,3572.453,3080.922,0.6643325706984581,0.9616213808811537,0.3000198565859584,0.983446895652303,93.0
discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],24,B0005,17,5138,05138.csv,1.824773853,,,2008-04-04 01:38:15.218,9.0,-0.0002407992887385461,-0.0002820432673900469,2.609,-1.853972745505648,0.8127150706662164,0.22259972955872842,2407.938,38.526267904657,3.3813142741426034,1473.6399113193404,230.03129409383564,,-0.00021993705642957712,1.7867772251878666e-05,2146.9167971638954,2153.687,3.5547584345231957,6.53743887739607,7431361.0152099775,3309.625,,12595.649915602164,6.629929252618181,3550.594,3550.594,3086.829,0.6644988543836526,0.9608152867945828,0.26145566672275455,0.9829174344833872,92.0
discharge,[2008.       4.       4.       5.      48.       8.609],24,B0005,19,5140,05140.csv,1.824613268,,,2008-04-04 05:48:08.609,10.0,-0.00024136151146413553,-0.0002826133404911436,2.6100000000000003,-1.853589933851096,0.8015114784535368,0.2216597797580903,2389.015,38.52698128472781,3.3932601951659325,1471.6334762907754,227.98025418335192,,-0.00022104686563741017,1.825991053255751e-05,2145.4993403053722,2154.079,3.553227514868041,6.535374853947528,7729967.081453478,3310.016,,12591.886961215709,6.627281037451746,3551.25,3551.25,3096.031,0.6638007151835001,0.961954518108792,0.2872988004208321,0.9828309351092555,91.0
